Date,Close,Open,High,Low,Volume,Up&Down,Rate
2009-07-14,76900,79800,80700,76900,240684,-1100,-1.41025641
2009-07-15,78700,77200,79300,77100,180747,1800,2.340702211
2009-07-16,81800,80100,83500,79700,267838,3100,3.939008895
2009-07-17,80800,82600,83000,79200,208103,-1000,-1.222493888
2009-07-20,84000,81500,84000,80800,298594,3200,3.96039604
2009-07-21,87400,85300,88200,85000,405885,3400,4.047619048
2009-07-22,87100,88500,88800,85500,283947,-300,-0.343249428
2009-07-23,87200,86700,87300,84200,161837,100,0.114810563
2009-07-24,88400,88300,89600,87400,257334,1200,1.376146789
2009-07-27,88100,89500,89600,87600,247389,-300,-0.339366516
2009-07-28,88500,88300,90400,88200,334520,400,0.454029512
2009-07-29,87800,88600,89100,87000,179965,-700,-0.790960452
2009-07-30,88400,86700,88400,85400,213819,600,0.683371298
2009-07-31,89000,88800,89000,87400,290647,600,0.678733032
2009-08-03,93100,90600,93300,90300,436235,4100,4.606741573
2009-08-04,91400,94500,94600,91400,330160,-1700,-1.825993555
2009-08-05,89800,91800,92600,89800,223515,-1600,-1.750547046
2009-08-06,89100,88900,90100,87500,221681,-700,-0.779510022
2009-08-07,92400,89000,92400,88500,292152,3300,3.703703704
2009-08-10,93100,93300,93600,91800,298696,700,0.757575758
2009-08-11,95400,92900,95400,92400,290367,2300,2.470461869
2009-08-12,96200,94800,96600,94200,270740,800,0.838574423
2009-08-13,95900,96800,97000,95300,192174,-300,-0.311850312
2009-08-14,96900,97200,98200,96100,179425,1000,1.042752868
2009-08-17,94300,97200,97900,93600,262591,-2600,-2.683178535
2009-08-18,94800,93300,96000,90700,306882,500,0.530222694
2009-08-19,88900,94800,95000,88800,505119,-5900,-6.223628692
2009-08-20,87900,88500,90000,85400,363145,-1000,-1.124859393
2009-08-21,82300,87000,87800,82000,536095,-5600,-6.370875995
2009-08-24,82300,82900,84500,81700,326915,0,0
2009-08-25,81800,82200,84500,81800,289592,-500,-0.607533414
2009-08-26,85800,82000,85900,81700,395047,4000,4.88997555
2009-08-27,88000,86500,88100,85700,330067,2200,2.564102564
2009-08-28,86400,88300,88800,86000,205087,-1600,-1.818181818
2009-08-31,83300,86400,87700,82600,253273,-3100,-3.587962963
2009-09-01,84000,83400,84100,82400,310274,700,0.840336134
2009-09-02,81200,82900,83400,80000,425063,-2800,-3.333333333
2009-09-03,81700,81200,82600,80900,224133,500,0.615763547
2009-09-04,83700,82800,85300,82400,268641,2000,2.447980416
2009-09-07,83600,85200,85300,83500,219383,-100,-0.119474313
2009-09-08,85900,84600,86300,84000,255740,2300,2.751196172
2009-09-09,88000,87700,88400,86300,302695,2100,2.444703143
2009-09-10,94000,89400,94000,88800,550217,6000,6.818181818
2009-09-11,94200,94200,95000,92200,332318,200,0.212765957
2009-09-14,92200,94500,94500,92000,181654,-2000,-2.123142251
2009-09-15,88600,92500,93300,87300,402350,-3600,-3.904555315
2009-09-16,92100,89600,92500,89400,244913,3500,3.9503386
2009-09-17,97000,92600,97600,92600,471031,4900,5.320304017
2009-09-18,100500,98000,100500,95600,543979,3500,3.608247423
2009-09-21,99800,100500,101500,98000,215848,-700,-0.696517413
2009-09-22,98600,100000,100000,97400,223716,-1200,-1.20240481
2009-09-23,94300,97600,98400,94200,384172,-4300,-4.361054767
2009-09-24,92700,93000,95800,91700,223554,-1600,-1.696712619
2009-09-25,96000,93200,96400,92000,213998,3300,3.55987055
2009-09-28,96700,96000,97500,94000,163275,700,0.729166667
2009-09-29,94200,97000,97200,94100,171567,-2500,-2.585315408
2009-09-30,89000,92800,95200,89000,251389,-5200,-5.520169851
2009-10-01,87300,89500,90900,85800,224709,-1700,-1.91011236
2009-10-05,85500,86500,87200,85200,204552,-1800,-2.06185567
2009-10-06,87900,86500,88200,85600,163507,2400,2.807017544
2009-10-07,87500,89000,89000,87100,131917,-400,-0.455062571
2009-10-08,88500,87600,88500,86000,96858,1000,1.142857143
2009-10-09,91800,89000,92300,88000,189675,3300,3.728813559
2009-10-12,91100,92500,92500,89600,124738,-700,-0.762527233
2009-10-13,88200,91000,91000,88200,107084,-2900,-3.183315038
2009-10-14,89800,88500,90700,88500,113206,1600,1.814058957
2009-10-15,94400,90000,95200,90000,386798,4600,5.122494432
2009-10-16,93300,94000,95700,93300,260769,-1100,-1.165254237
2009-10-19,93900,92900,94100,92100,93510,600,0.643086817
2009-10-20,96900,95100,97400,94700,269945,3000,3.194888179
2009-10-21,97800,96500,98300,96000,199433,900,0.92879257
2009-10-22,97500,96500,97500,95800,127714,-300,-0.306748466
2009-10-23,89400,97800,98000,89000,248267,-8100,-8.307692308
2009-10-26,92800,91100,93800,90200,202335,3400,3.803131991
2009-10-27,89400,92000,92400,88400,181935,-3400,-3.663793103
2009-10-28,85800,89300,89400,85700,241288,-3600,-4.026845638
2009-10-29,84100,84300,84500,82500,174510,-1700,-1.981351981
2009-10-30,83800,85800,85900,83600,81213,-300,-0.356718193
2009-11-02,82400,80800,83300,80400,90224,-1400,-1.670644391
2009-11-03,81600,82600,83500,81600,69810,-800,-0.970873786
2009-11-04,81900,81600,82800,80600,186976,300,0.367647059
2009-11-05,74300,80500,80800,74100,589394,-7600,-9.27960928
2009-11-06,73100,75400,76000,72300,346523,-1200,-1.615074024
2009-11-09,74500,73500,75100,73500,195915,1400,1.915184679
2009-11-10,74400,75100,75800,74200,161257,-100,-0.134228188
2009-11-11,74200,74100,75100,73200,106227,-200,-0.268817204
2009-11-12,75100,75100,76500,74600,201281,900,1.212938005
2009-11-13,76400,75800,76600,74400,144713,1300,1.7310253
2009-11-16,77200,76900,77300,75900,157849,800,1.047120419
2009-11-17,79000,77600,79500,76500,191109,1800,2.331606218
2009-11-18,77700,79900,79900,77600,142889,-1300,-1.64556962
2009-11-19,76300,78900,78900,75800,199104,-1400,-1.801801802
2009-11-20,76200,75800,77000,75800,106933,-100,-0.131061599
2009-11-23,74800,76700,76800,72600,161527,-1400,-1.837270341
2009-11-24,74600,75100,75700,74300,124150,-200,-0.267379679
2009-11-25,74500,74900,75500,73400,108652,-100,-0.134048257
2009-11-26,74500,74700,76200,74300,137244,0,0
2009-11-27,68800,73000,73700,68100,244705,-5700,-7.651006711
2009-11-30,70100,70300,71200,69900,162412,1300,1.889534884
2009-12-01,66500,69500,70600,65700,397001,-3600,-5.135520685
2009-12-02,66000,67500,68300,65200,396323,-500,-0.751879699
2009-12-03,70500,66400,70500,66200,374742,4500,6.818181818
2009-12-04,70400,69500,71800,68600,263894,-100,-0.141843972
2009-12-07,73300,71200,73500,71200,383382,2900,4.119318182
2009-12-08,73300,73500,74200,72100,171947,0,0
2009-12-09,73300,72300,73700,71800,137884,0,0
2009-12-10,76200,74000,76300,73100,353546,2900,3.956343793
2009-12-11,77800,76600,78600,75700,222271,1600,2.099737533
2009-12-14,78200,78700,78700,76200,150879,400,0.514138817
2009-12-15,79200,78300,79400,77100,154109,1000,1.278772379
2009-12-16,77800,79400,80000,77800,157163,-1400,-1.767676768
2009-12-17,78500,78500,79500,77900,135497,700,0.899742931
2009-12-18,77900,78100,78600,77300,66673,-600,-0.76433121
2009-12-21,78000,78300,79400,77700,76144,100,0.128369705
2009-12-22,85500,80000,87200,80000,613415,7500,9.615384615
2009-12-23,84100,86000,86300,83300,235231,-1400,-1.637426901
2009-12-24,86500,86000,87400,84600,188216,2400,2.853745541
2009-12-28,99400,99400,99400,98500,337238,12900,14.9132948
2009-12-29,95700,97400,100500,93600,481397,-3700,-3.722334004
2009-12-30,95400,95500,97300,93100,182225,-300,-0.313479624
2010-01-04,92900,92400,95000,92400,130633,-2500,-2.620545073
2010-01-05,92700,92500,93700,90900,190253,-200,-0.215285253
2010-01-06,97800,92700,98200,92000,261431,5100,5.501618123
2010-01-07,100500,98000,103000,96800,320974,2700,2.760736196
